violation_text,violation_reason,law_name,article_no,penalty_guide,correction_suggestion
"여성 우대 채용","겉으로는 우대 또는 선호 표현처럼 보여도 남성 또는 여성에게만 유리한 조건을 제시하면 결과적으로 다른 성의 채용 기회를 좁혀 실질적인 성차별로 이어질 수 있다.","남녀고용평등법","제7조 제1항","500만 원 이하의 벌금","성별과 무관하게 직무 경험, 커뮤니케이션 역량, 관련 자격을 기준으로 평가합니다."
"군필 남성 우대","겉으로는 우대 또는 선호 표현처럼 보여도 남성 또는 여성에게만 유리한 조건을 제시하면 결과적으로 다른 성의 채용 기회를 좁혀 실질적인 성차별로 이어질 수 있다.","남녀고용평등법","제7조 제1항","500만 원 이하의 벌금","성별과 무관하게 직무 경험, 커뮤니케이션 역량, 관련 자격을 기준으로 평가합니다."
"병역필자 우대","겉으로는 우대 또는 선호 표현처럼 보여도 남성 또는 여성에게만 유리한 조건을 제시하면 결과적으로 다른 성의 채용 기회를 좁혀 실질적인 성차별로 이어질 수 있다.","남녀고용평등법","제7조 제1항","500만 원 이하의 벌금","성별과 무관하게 직무 경험, 커뮤니케이션 역량, 관련 자격을 기준으로 평가합니다."
"여성 비서 우대","겉으로는 우대 또는 선호 표현처럼 보여도 남성 또는 여성에게만 유리한 조건을 제시하면 결과적으로 다른 성의 채용 기회를 좁혀 실질적인 성차별로 이어질 수 있다.","남녀고용평등법","제7조 제1항","500만 원 이하의 벌금","성별과 무관하게 직무 경험, 커뮤니케이션 역량, 관련 자격을 기준으로 평가합니다."
"남직원 선호","겉으로는 우대 또는 선호 표현처럼 보여도 남성 또는 여성에게만 유리한 조건을 제시하면 결과적으로 다른 성의 채용 기회를 좁혀 실질적인 성차별로 이어질 수 있다.","남녀고용평등법","제7조 제1항","500만 원 이하의 벌금","성별과 무관하게 직무 경험, 커뮤니케이션 역량, 관련 자격을 기준으로 평가합니다."
"여직원 선호","겉으로는 우대 또는 선호 표현처럼 보여도 남성 또는 여성에게만 유리한 조건을 제시하면 결과적으로 다른 성의 채용 기회를 좁혀 실질적인 성차별로 이어질 수 있다.","남녀고용평등법","제7조 제1항","500만 원 이하의 벌금","성별과 무관하게 직무 경험, 커뮤니케이션 역량, 관련 자격을 기준으로 평가합니다."
"남성 지원자 환영","겉으로는 우대 또는 선호 표현처럼 보여도 남성 또는 여성에게만 유리한 조건을 제시하면 결과적으로 다른 성의 채용 기회를 좁혀 실질적인 성차별로 이어질 수 있다.","남녀고용평등법","제7조 제1항","500만 원 이하의 벌금","성별과 무관하게 직무 경험, 커뮤니케이션 역량, 관련 자격을 기준으로 평가합니다."
"여성 지원자 환영","겉으로는 우대 또는 선호 표현처럼 보여도 남성 또는 여성에게만 유리한 조건을 제시하면 결과적으로 다른 성의 채용 기회를 좁혀 실질적인 성차별로 이어질 수 있다.","남녀고용평등법","제7조 제1항","500만 원 이하의 벌금","성별과 무관하게 직무 경험, 커뮤니케이션 역량, 관련 자격을 기준으로 평가합니다."
"군필자 중심 채용","겉으로는 우대 또는 선호 표현처럼 보여도 남성 또는 여성에게만 유리한 조건을 제시하면 결과적으로 다른 성의 채용 기회를 좁혀 실질적인 성차별로 이어질 수 있다.","남녀고용평등법","제7조 제1항","500만 원 이하의 벌금","성별과 무관하게 직무 경험, 커뮤니케이션 역량, 관련 자격을 기준으로 평가합니다."
"남성 경력자 우선 검토","겉으로는 우대 또는 선호 표현처럼 보여도 남성 또는 여성에게만 유리한 조건을 제시하면 결과적으로 다른 성의 채용 기회를 좁혀 실질적인 성차별로 이어질 수 있다.","남녀고용평등법","제7조 제1항","500만 원 이하의 벌금","성별과 무관하게 직무 경험, 커뮤니케이션 역량, 관련 자격을 기준으로 평가합니다."
"여성 친화 직무로 여성 지원자 선호","겉으로는 우대 또는 선호 표현처럼 보여도 남성 또는 여성에게만 유리한 조건을 제시하면 결과적으로 다른 성의 채용 기회를 좁혀 실질적인 성차별로 이어질 수 있다.","남녀고용평등법","제7조 제1항","500만 원 이하의 벌금","성별과 무관하게 직무 경험, 커뮤니케이션 역량, 관련 자격을 기준으로 평가합니다."
"용모 단정한 분","직무 수행에 필요하지 않은 외모, 키, 체중 같은 신체 조건을 채용 기준으로 제시하면 구직자의 직무능력이 아니라 외형을 기준으로 선별하게 되어 차별 위험이 크다.","남녀고용평등법","제7조 제2항","500만 원 이하의 벌금","외모나 신체조건과 무관하게 직무 역량과 업무 경험을 기준으로 선발합니다."
"단정한 인상의 지원자","직무 수행에 필요하지 않은 외모, 키, 체중 같은 신체 조건을 채용 기준으로 제시하면 구직자의 직무능력이 아니라 외형을 기준으로 선별하게 되어 차별 위험이 크다.","남녀고용평등법","제7조 제2항","500만 원 이하의 벌금","외모나 신체조건과 무관하게 직무 역량과 업무 경험을 기준으로 선발합니다."
"호감 가는 외모의 소유자","직무 수행에 필요하지 않은 외모, 키, 체중 같은 신체 조건을 채용 기준으로 제시하면 구직자의 직무능력이 아니라 외형을 기준으로 선별하게 되어 차별 위험이 크다.","남녀고용평등법","제7조 제2항","500만 원 이하의 벌금","외모나 신체조건과 무관하게 직무 역량과 업무 경험을 기준으로 선발합니다."
"깔끔한 용모를 갖춘 분","직무 수행에 필요하지 않은 외모, 키, 체중 같은 신체 조건을 채용 기준으로 제시하면 구직자의 직무능력이 아니라 외형을 기준으로 선별하게 되어 차별 위험이 크다.","남녀고용평등법","제7조 제2항","500만 원 이하의 벌금","외모나 신체조건과 무관하게 직무 역량과 업무 경험을 기준으로 선발합니다."
"인상이 밝은 분","직무 수행에 필요하지 않은 외모, 키, 체중 같은 신체 조건을 채용 기준으로 제시하면 구직자의 직무능력이 아니라 외형을 기준으로 선별하게 되어 차별 위험이 크다.","남녀고용평등법","제7조 제2항","500만 원 이하의 벌금","외모나 신체조건과 무관하게 직무 역량과 업무 경험을 기준으로 선발합니다."
"밝은 미소를 가진 분","직무 수행에 필요하지 않은 외모, 키, 체중 같은 신체 조건을 채용 기준으로 제시하면 구직자의 직무능력이 아니라 외형을 기준으로 선별하게 되어 차별 위험이 크다.","남녀고용평등법","제7조 제2항","500만 원 이하의 벌금","외모나 신체조건과 무관하게 직무 역량과 업무 경험을 기준으로 선발합니다."
"키 170cm 이상","직무 수행에 필요하지 않은 외모, 키, 체중 같은 신체 조건을 채용 기준으로 제시하면 구직자의 직무능력이 아니라 외형을 기준으로 선별하게 되어 차별 위험이 크다.","남녀고용평등법","제7조 제2항","500만 원 이하의 벌금","외모나 신체조건과 무관하게 직무 역량과 업무 경험을 기준으로 선발합니다."
"체중 60kg 이상","직무 수행에 필요하지 않은 외모, 키, 체중 같은 신체 조건을 채용 기준으로 제시하면 구직자의 직무능력이 아니라 외형을 기준으로 선별하게 되어 차별 위험이 크다.","남녀고용평등법","제7조 제2항","500만 원 이하의 벌금","외모나 신체조건과 무관하게 직무 역량과 업무 경험을 기준으로 선발합니다."
"늘씬한 체형 우대","직무 수행에 필요하지 않은 외모, 키, 체중 같은 신체 조건을 채용 기준으로 제시하면 구직자의 직무능력이 아니라 외형을 기준으로 선별하게 되어 차별 위험이 크다.","남녀고용평등법","제7조 제2항","500만 원 이하의 벌금","외모나 신체조건과 무관하게 직무 역량과 업무 경험을 기준으로 선발합니다."
"외모가 단아한 분","직무 수행에 필요하지 않은 외모, 키, 체중 같은 신체 조건을 채용 기준으로 제시하면 구직자의 직무능력이 아니라 외형을 기준으로 선별하게 되어 차별 위험이 크다.","남녀고용평등법","제7조 제2항","500만 원 이하의 벌금","외모나 신체조건과 무관하게 직무 역량과 업무 경험을 기준으로 선발합니다."
"비주얼이 좋은 분","직무 수행에 필요하지 않은 외모, 키, 체중 같은 신체 조건을 채용 기준으로 제시하면 구직자의 직무능력이 아니라 외형을 기준으로 선별하게 되어 차별 위험이 크다.","남녀고용평등법","제7조 제2항","500만 원 이하의 벌금","외모나 신체조건과 무관하게 직무 역량과 업무 경험을 기준으로 선발합니다."
"첫인상이 좋은 분","직무 수행에 필요하지 않은 외모, 키, 체중 같은 신체 조건을 채용 기준으로 제시하면 구직자의 직무능력이 아니라 외형을 기준으로 선별하게 되어 차별 위험이 크다.","남녀고용평등법","제7조 제2항","500만 원 이하의 벌금","외모나 신체조건과 무관하게 직무 역량과 업무 경험을 기준으로 선발합니다."
"단정하고 세련된 이미지 보유자","직무 수행에 필요하지 않은 외모, 키, 체중 같은 신체 조건을 채용 기준으로 제시하면 구직자의 직무능력이 아니라 외형을 기준으로 선별하게 되어 차별 위험이 크다.","남녀고용평등법","제7조 제2항","500만 원 이하의 벌금","외모나 신체조건과 무관하게 직무 역량과 업무 경험을 기준으로 선발합니다."
"프로필 사진상 인상이 좋은 분","직무 수행에 필요하지 않은 외모, 키, 체중 같은 신체 조건을 채용 기준으로 제시하면 구직자의 직무능력이 아니라 외형을 기준으로 선별하게 되어 차별 위험이 크다.","남녀고용평등법","제7조 제2항","500만 원 이하의 벌금","외모나 신체조건과 무관하게 직무 역량과 업무 경험을 기준으로 선발합니다."
"미혼 여성 환영","미혼 여부, 결혼 계획, 자녀 계획과 같은 사적 생활정보를 채용 조건으로 제시하면 직무와 무관한 생활 상태를 이유로 구직자를 배제하게 되어 차별 소지가 크다.","남녀고용평등법","제7조 제2항","500만 원 이하의 벌금","혼인 여부, 출산 계획과 무관하게 직무 요건 충족 여부만 평가합니다."
"미혼자만 지원 가능","미혼 여부, 결혼 계획, 자녀 계획과 같은 사적 생활정보를 채용 조건으로 제시하면 직무와 무관한 생활 상태를 이유로 구직자를 배제하게 되어 차별 소지가 크다.","남녀고용평등법","제7조 제2항","500만 원 이하의 벌금","혼인 여부, 출산 계획과 무관하게 직무 요건 충족 여부만 평가합니다."
"기혼자는 지원 불가","미혼 여부, 결혼 계획, 자녀 계획과 같은 사적 생활정보를 채용 조건으로 제시하면 직무와 무관한 생활 상태를 이유로 구직자를 배제하게 되어 차별 소지가 크다.","남녀고용평등법","제7조 제2항","500만 원 이하의 벌금","혼인 여부, 출산 계획과 무관하게 직무 요건 충족 여부만 평가합니다."
"결혼 계획 없는 분 우대","미혼 여부, 결혼 계획, 자녀 계획과 같은 사적 생활정보를 채용 조건으로 제시하면 직무와 무관한 생활 상태를 이유로 구직자를 배제하게 되어 차별 소지가 크다.","남녀고용평등법","제7조 제2항","500만 원 이하의 벌금","혼인 여부, 출산 계획과 무관하게 직무 요건 충족 여부만 평가합니다."
"출산 계획이 없는 분 선호","미혼 여부, 결혼 계획, 자녀 계획과 같은 사적 생활정보를 채용 조건으로 제시하면 직무와 무관한 생활 상태를 이유로 구직자를 배제하게 되어 차별 소지가 크다.","남녀고용평등법","제7조 제2항","500만 원 이하의 벌금","혼인 여부, 출산 계획과 무관하게 직무 요건 충족 여부만 평가합니다."
"아이 돌봄 부담 없는 분","미혼 여부, 결혼 계획, 자녀 계획과 같은 사적 생활정보를 채용 조건으로 제시하면 직무와 무관한 생활 상태를 이유로 구직자를 배제하게 되어 차별 소지가 크다.","남녀고용평등법","제7조 제2항","500만 원 이하의 벌금","혼인 여부, 출산 계획과 무관하게 직무 요건 충족 여부만 평가합니다."
"결혼 예정이 없는 분","미혼 여부, 결혼 계획, 자녀 계획과 같은 사적 생활정보를 채용 조건으로 제시하면 직무와 무관한 생활 상태를 이유로 구직자를 배제하게 되어 차별 소지가 크다.","남녀고용평등법","제7조 제2항","500만 원 이하의 벌금","혼인 여부, 출산 계획과 무관하게 직무 요건 충족 여부만 평가합니다."
"싱글 지원자 우대","미혼 여부, 결혼 계획, 자녀 계획과 같은 사적 생활정보를 채용 조건으로 제시하면 직무와 무관한 생활 상태를 이유로 구직자를 배제하게 되어 차별 소지가 크다.","남녀고용평등법","제7조 제2항","500만 원 이하의 벌금","혼인 여부, 출산 계획과 무관하게 직무 요건 충족 여부만 평가합니다."
"자녀가 없는 분 우대","미혼 여부, 결혼 계획, 자녀 계획과 같은 사적 생활정보를 채용 조건으로 제시하면 직무와 무관한 생활 상태를 이유로 구직자를 배제하게 되어 차별 소지가 크다.","남녀고용평등법","제7조 제2항","500만 원 이하의 벌금","혼인 여부, 출산 계획과 무관하게 직무 요건 충족 여부만 평가합니다."
"육아 예정이 없는 분 선호","미혼 여부, 결혼 계획, 자녀 계획과 같은 사적 생활정보를 채용 조건으로 제시하면 직무와 무관한 생활 상태를 이유로 구직자를 배제하게 되어 차별 소지가 크다.","남녀고용평등법","제7조 제2항","500만 원 이하의 벌금","혼인 여부, 출산 계획과 무관하게 직무 요건 충족 여부만 평가합니다."
"미혼 지원자 우선 검토","미혼 여부, 결혼 계획, 자녀 계획과 같은 사적 생활정보를 채용 조건으로 제시하면 직무와 무관한 생활 상태를 이유로 구직자를 배제하게 되어 차별 소지가 크다.","남녀고용평등법","제7조 제2항","500만 원 이하의 벌금","혼인 여부, 출산 계획과 무관하게 직무 요건 충족 여부만 평가합니다."
"가정에 제약이 없는 분","미혼 여부, 결혼 계획, 자녀 계획과 같은 사적 생활정보를 채용 조건으로 제시하면 직무와 무관한 생활 상태를 이유로 구직자를 배제하게 되어 차별 소지가 크다.","남녀고용평등법","제7조 제2항","500만 원 이하의 벌금","혼인 여부, 출산 계획과 무관하게 직무 요건 충족 여부만 평가합니다."
"키와 몸무게를 기재해 주세요","용모, 키, 체중, 시력, 사진처럼 구직자의 외형이나 신체적 특징을 드러내는 정보는 원칙적으로 직무능력과 무관하므로 기초심사자료에 기재·수집해서는 안 된다.","채용절차법","제4조의3","500만 원 이하의 과태료","지원서에는 경력, 자격, 수행역량 등 직무 관련 정보만 기재하도록 안내합니다."
"신장 및 체중 필수 입력","용모, 키, 체중, 시력, 사진처럼 구직자의 외형이나 신체적 특징을 드러내는 정보는 원칙적으로 직무능력과 무관하므로 기초심사자료에 기재·수집해서는 안 된다.","채용절차법","제4조의3","500만 원 이하의 과태료","지원서에는 경력, 자격, 수행역량 등 직무 관련 정보만 기재하도록 안내합니다."
"용모를 확인할 수 있는 사진 첨부 필수","용모, 키, 체중, 시력, 사진처럼 구직자의 외형이나 신체적 특징을 드러내는 정보는 원칙적으로 직무능력과 무관하므로 기초심사자료에 기재·수집해서는 안 된다.","채용절차법","제4조의3","500만 원 이하의 과태료","지원서에는 경력, 자격, 수행역량 등 직무 관련 정보만 기재하도록 안내합니다."
"증명사진 부착 후 제출","용모, 키, 체중, 시력, 사진처럼 구직자의 외형이나 신체적 특징을 드러내는 정보는 원칙적으로 직무능력과 무관하므로 기초심사자료에 기재·수집해서는 안 된다.","채용절차법","제4조의3","500만 원 이하의 과태료","지원서에는 경력, 자격, 수행역량 등 직무 관련 정보만 기재하도록 안내합니다."
"얼굴이 잘 보이는 프로필 사진 필수","용모, 키, 체중, 시력, 사진처럼 구직자의 외형이나 신체적 특징을 드러내는 정보는 원칙적으로 직무능력과 무관하므로 기초심사자료에 기재·수집해서는 안 된다.","채용절차법","제4조의3","500만 원 이하의 과태료","지원서에는 경력, 자격, 수행역량 등 직무 관련 정보만 기재하도록 안내합니다."
"정면 상반신 사진 첨부","용모, 키, 체중, 시력, 사진처럼 구직자의 외형이나 신체적 특징을 드러내는 정보는 원칙적으로 직무능력과 무관하므로 기초심사자료에 기재·수집해서는 안 된다.","채용절차법","제4조의3","500만 원 이하의 과태료","지원서에는 경력, 자격, 수행역량 등 직무 관련 정보만 기재하도록 안내합니다."
"시력 정보를 작성해 주세요","용모, 키, 체중, 시력, 사진처럼 구직자의 외형이나 신체적 특징을 드러내는 정보는 원칙적으로 직무능력과 무관하므로 기초심사자료에 기재·수집해서는 안 된다.","채용절차법","제4조의3","500만 원 이하의 과태료","지원서에는 경력, 자격, 수행역량 등 직무 관련 정보만 기재하도록 안내합니다."
"체형 정보를 상세히 기재해 주세요","용모, 키, 체중, 시력, 사진처럼 구직자의 외형이나 신체적 특징을 드러내는 정보는 원칙적으로 직무능력과 무관하므로 기초심사자료에 기재·수집해서는 안 된다.","채용절차법","제4조의3","500만 원 이하의 과태료","지원서에는 경력, 자격, 수행역량 등 직무 관련 정보만 기재하도록 안내합니다."
"신체 사이즈를 입력해 주세요","용모, 키, 체중, 시력, 사진처럼 구직자의 외형이나 신체적 특징을 드러내는 정보는 원칙적으로 직무능력과 무관하므로 기초심사자료에 기재·수집해서는 안 된다.","채용절차법","제4조의3","500만 원 이하의 과태료","지원서에는 경력, 자격, 수행역량 등 직무 관련 정보만 기재하도록 안내합니다."
"외모 확인용 최근 사진 제출","용모, 키, 체중, 시력, 사진처럼 구직자의 외형이나 신체적 특징을 드러내는 정보는 원칙적으로 직무능력과 무관하므로 기초심사자료에 기재·수집해서는 안 된다.","채용절차법","제4조의3","500만 원 이하의 과태료","지원서에는 경력, 자격, 수행역량 등 직무 관련 정보만 기재하도록 안내합니다."
"키, 체중, 혈액형 기재 필수","용모, 키, 체중, 시력, 사진처럼 구직자의 외형이나 신체적 특징을 드러내는 정보는 원칙적으로 직무능력과 무관하므로 기초심사자료에 기재·수집해서는 안 된다.","채용절차법","제4조의3","500만 원 이하의 과태료","지원서에는 경력, 자격, 수행역량 등 직무 관련 정보만 기재하도록 안내합니다."
"용모 및 인상 확인을 위한 사진 등록","용모, 키, 체중, 시력, 사진처럼 구직자의 외형이나 신체적 특징을 드러내는 정보는 원칙적으로 직무능력과 무관하므로 기초심사자료에 기재·수집해서는 안 된다.","채용절차법","제4조의3","500만 원 이하의 과태료","지원서에는 경력, 자격, 수행역량 등 직무 관련 정보만 기재하도록 안내합니다."
"신체조건란에 키와 몸무게를 작성해 주세요","용모, 키, 체중, 시력, 사진처럼 구직자의 외형이나 신체적 특징을 드러내는 정보는 원칙적으로 직무능력과 무관하므로 기초심사자료에 기재·수집해서는 안 된다.","채용절차법","제4조의3","500만 원 이하의 과태료","지원서에는 경력, 자격, 수행역량 등 직무 관련 정보만 기재하도록 안내합니다."
"프로필 이미지 첨부는 필수입니다","용모, 키, 체중, 시력, 사진처럼 구직자의 외형이나 신체적 특징을 드러내는 정보는 원칙적으로 직무능력과 무관하므로 기초심사자료에 기재·수집해서는 안 된다.","채용절차법","제4조의3","500만 원 이하의 과태료","지원서에는 경력, 자격, 수행역량 등 직무 관련 정보만 기재하도록 안내합니다."
"부모님 직업을 기재해 주세요","출신지역, 등록기준지, 혼인 여부, 가족의 학력·직업·재산 같은 정보는 구직자 본인의 직무 수행 능력과 무관하며 배경이나 사생활을 기준으로 편견을 유발할 수 있어 수집이 금지된다.","채용절차법","제4조의3","500만 원 이하의 과태료","가족사항과 출신 배경 항목을 삭제하고 본인의 경력, 기술, 자격만 받도록 서식을 수정합니다."
"부친 직업 / 모친 직업 입력 필수","출신지역, 등록기준지, 혼인 여부, 가족의 학력·직업·재산 같은 정보는 구직자 본인의 직무 수행 능력과 무관하며 배경이나 사생활을 기준으로 편견을 유발할 수 있어 수집이 금지된다.","채용절차법","제4조의3","500만 원 이하의 과태료","가족사항과 출신 배경 항목을 삭제하고 본인의 경력, 기술, 자격만 받도록 서식을 수정합니다."
"가족 학력 사항 작성","출신지역, 등록기준지, 혼인 여부, 가족의 학력·직업·재산 같은 정보는 구직자 본인의 직무 수행 능력과 무관하며 배경이나 사생활을 기준으로 편견을 유발할 수 있어 수집이 금지된다.","채용절차법","제4조의3","500만 원 이하의 과태료","가족사항과 출신 배경 항목을 삭제하고 본인의 경력, 기술, 자격만 받도록 서식을 수정합니다."
"형제자매 직업을 적어 주세요","출신지역, 등록기준지, 혼인 여부, 가족의 학력·직업·재산 같은 정보는 구직자 본인의 직무 수행 능력과 무관하며 배경이나 사생활을 기준으로 편견을 유발할 수 있어 수집이 금지된다.","채용절차법","제4조의3","500만 원 이하의 과태료","가족사항과 출신 배경 항목을 삭제하고 본인의 경력, 기술, 자격만 받도록 서식을 수정합니다."
"가족 재산 현황 기재","출신지역, 등록기준지, 혼인 여부, 가족의 학력·직업·재산 같은 정보는 구직자 본인의 직무 수행 능력과 무관하며 배경이나 사생활을 기준으로 편견을 유발할 수 있어 수집이 금지된다.","채용절차법","제4조의3","500만 원 이하의 과태료","가족사항과 출신 배경 항목을 삭제하고 본인의 경력, 기술, 자격만 받도록 서식을 수정합니다."
"보호자 직업 및 직위 작성","출신지역, 등록기준지, 혼인 여부, 가족의 학력·직업·재산 같은 정보는 구직자 본인의 직무 수행 능력과 무관하며 배경이나 사생활을 기준으로 편견을 유발할 수 있어 수집이 금지된다.","채용절차법","제4조의3","500만 원 이하의 과태료","가족사항과 출신 배경 항목을 삭제하고 본인의 경력, 기술, 자격만 받도록 서식을 수정합니다."
"본적 기재 필수","출신지역, 등록기준지, 혼인 여부, 가족의 학력·직업·재산 같은 정보는 구직자 본인의 직무 수행 능력과 무관하며 배경이나 사생활을 기준으로 편견을 유발할 수 있어 수집이 금지된다.","채용절차법","제4조의3","500만 원 이하의 과태료","가족사항과 출신 배경 항목을 삭제하고 본인의 경력, 기술, 자격만 받도록 서식을 수정합니다."
"등록기준지 입력","출신지역, 등록기준지, 혼인 여부, 가족의 학력·직업·재산 같은 정보는 구직자 본인의 직무 수행 능력과 무관하며 배경이나 사생활을 기준으로 편견을 유발할 수 있어 수집이 금지된다.","채용절차법","제4조의3","500만 원 이하의 과태료","가족사항과 출신 배경 항목을 삭제하고 본인의 경력, 기술, 자격만 받도록 서식을 수정합니다."
"출생지 작성","출신지역, 등록기준지, 혼인 여부, 가족의 학력·직업·재산 같은 정보는 구직자 본인의 직무 수행 능력과 무관하며 배경이나 사생활을 기준으로 편견을 유발할 수 있어 수집이 금지된다.","채용절차법","제4조의3","500만 원 이하의 과태료","가족사항과 출신 배경 항목을 삭제하고 본인의 경력, 기술, 자격만 받도록 서식을 수정합니다."
"고향을 적어 주세요","출신지역, 등록기준지, 혼인 여부, 가족의 학력·직업·재산 같은 정보는 구직자 본인의 직무 수행 능력과 무관하며 배경이나 사생활을 기준으로 편견을 유발할 수 있어 수집이 금지된다.","채용절차법","제4조의3","500만 원 이하의 과태료","가족사항과 출신 배경 항목을 삭제하고 본인의 경력, 기술, 자격만 받도록 서식을 수정합니다."
"출신지역을 작성해 주세요","출신지역, 등록기준지, 혼인 여부, 가족의 학력·직업·재산 같은 정보는 구직자 본인의 직무 수행 능력과 무관하며 배경이나 사생활을 기준으로 편견을 유발할 수 있어 수집이 금지된다.","채용절차법","제4조의3","500만 원 이하의 과태료","가족사항과 출신 배경 항목을 삭제하고 본인의 경력, 기술, 자격만 받도록 서식을 수정합니다."
"혼인 여부 체크 필수","출신지역, 등록기준지, 혼인 여부, 가족의 학력·직업·재산 같은 정보는 구직자 본인의 직무 수행 능력과 무관하며 배경이나 사생활을 기준으로 편견을 유발할 수 있어 수집이 금지된다.","채용절차법","제4조의3","500만 원 이하의 과태료","가족사항과 출신 배경 항목을 삭제하고 본인의 경력, 기술, 자격만 받도록 서식을 수정합니다."
"기혼/미혼 여부 입력","출신지역, 등록기준지, 혼인 여부, 가족의 학력·직업·재산 같은 정보는 구직자 본인의 직무 수행 능력과 무관하며 배경이나 사생활을 기준으로 편견을 유발할 수 있어 수집이 금지된다.","채용절차법","제4조의3","500만 원 이하의 과태료","가족사항과 출신 배경 항목을 삭제하고 본인의 경력, 기술, 자격만 받도록 서식을 수정합니다."
